main_command	description	commands	raw_text
dxe	egg-program # see ragg2 and the 'g' command for more details	"[{""command"": ""dxe sym.imp.puts(\""foo\"")"", ""description"": ""call puts with a string argument""}]"	"Usage: dxe   egg-program # see ragg2 and the 'g' command for more details
| dxe sym.imp.puts(""foo"")  call puts with a string argument"
e [var[=value]]	Evaluable vars	"[{""command"": ""e?asm.bytes"", ""description"": ""show description""}, {""command"": ""e??"", ""description"": ""list config vars with description""}, {""command"": ""e a"", ""description"": ""get value of var 'a'""}, {""command"": ""e a=b"", ""description"": ""set var 'a' the 'b' value""}, {""command"": ""e.a=b"", ""description"": ""same as 'e a=b' but without using a space""}, {""command"": ""e,[table-query]"", ""description"": ""show the output in table format""}, {""command"": ""e/asm"", ""description"": ""filter configuration variables by name""}, {""command"": ""e:k=v:k=v:k=v"", ""description"": ""comma or colon separated k[=v]""}, {""command"": ""e-"", ""description"": ""reset config vars""}, {""command"": ""e*"", ""description"": ""dump config vars in r commands""}, {""command"": ""e!a"", ""description"": ""invert the boolean value of 'a' var""}, {""command"": ""ec[?] [k] [color]"", ""description"": ""set color for given key (prompt, offset, ...)""}, {""command"": ""ee [var]"", ""description"": ""open cfg.editor to change the value of var""}, {""command"": ""ed"", ""description"": ""open editor to change the ~/.radare2rc""}, {""command"": ""ed-[!]"", ""description"": ""delete ~/.radare2c (Use ed-! to delete without prompting)""}, {""command"": ""ej"", ""description"": ""list config vars in JSON""}, {""command"": ""eJ"", ""description"": ""list config vars in verbose JSON""}, {""command"": ""en"", ""description"": ""list environment vars""}, {""command"": ""env [k[=v]]"", ""description"": ""get/set environment variable""}, {""command"": ""er [key]"", ""description"": ""set config key as readonly. no way back""}, {""command"": ""es [space]"", ""description"": ""list all eval spaces [or keys]""}, {""command"": ""et [key]"", ""description"": ""show type of given config variable""}, {""command"": ""ev [key]"", ""description"": ""list config vars in verbose format""}, {""command"": ""evj [key]"", ""description"": ""list config vars in verbose format in JSON""}]"	"Usage: e [var[=value]]  Evaluable vars
| e?asm.bytes        show description
| e??                list config vars with description
| e a                get value of var 'a'
| e a=b              set var 'a' the 'b' value
| e.a=b              same as 'e a=b' but without using a space
| e,[table-query]    show the output in table format
| e/asm              filter configuration variables by name
| e:k=v:k=v:k=v      comma or colon separated k[=v]
| e-                 reset config vars
| e*                 dump config vars in r commands
| e!a                invert the boolean value of 'a' var
| ec[?] [k] [color]  set color for given key (prompt, offset, ...)
| ee [var]           open cfg.editor to change the value of var
| ed                 open editor to change the ~/.radare2rc
| ed-[!]             delete ~/.radare2c (Use ed-! to delete without prompting)
| ej                 list config vars in JSON
| eJ                 list config vars in verbose JSON
| en                 list environment vars
| env [k[=v]]        get/set environment variable
| er [key]           set config key as readonly. no way back
| es [space]         list all eval spaces [or keys]
| et [key]           show type of given config variable
| ev [key]           list config vars in verbose format
| evj [key]          list config vars in verbose format in JSON"
ec[s?] [key][[=| ]fg] [bg]	Vars:	"[{""command"": ""ec [key]"", ""description"": ""list all/key color keys""}, {""command"": ""ec*"", ""description"": ""same as above, but using r2 commands""}, {""command"": ""ecd"", ""description"": ""set default palette""}, {""command"": ""ecr"", ""description"": ""set random palette (see also scr.randpal)""}, {""command"": ""ecs"", ""description"": ""show a colorful palette""}, {""command"": ""ecj"", ""description"": ""show palette in JSON""}, {""command"": ""ecc [prefix]"", ""description"": ""show palette in CSS""}, {""command"": ""eco [theme]"", ""description"": ""load theme if provided (list available themes if not)""}, {""command"": ""ecp"", ""description"": ""load previous color theme""}, {""command"": ""ecn"", ""description"": ""load next color theme""}, {""command"": ""ecH[?]"", ""description"": ""highlight word or instruction""}, {""command"": ""ec prompt red"", ""description"": ""change color of prompt""}, {""command"": ""ec prompt red blue"", ""description"": ""change color and background of prompt""}, {""command"": ""colors:"", ""description"": ""rgb:000, red, green, blue, #ff0000, ...""}, {""command"": ""e scr.color=0"", ""description"": ""use more colors (0: no color 1: ansi 16, 2: 256, 3: 16M)""}, {""command"": ""$DATADIR/radare2/cons"", ""description"": ""~/.local/share/radare2/cons""}]"	"Usage: ec[s?] [key][[=| ]fg] [bg]
| ec [key]               list all/key color keys
| ec*                    same as above, but using r2 commands
| ecd                    set default palette
| ecr                    set random palette (see also scr.randpal)
| ecs                    show a colorful palette
| ecj                    show palette in JSON
| ecc [prefix]           show palette in CSS
| eco [theme]            load theme if provided (list available themes if not)
| ecp                    load previous color theme
| ecn                    load next color theme
| ecH[?]                 highlight word or instruction
| ec prompt red          change color of prompt
| ec prompt red blue     change color and background of prompt
Vars:
| colors:                rgb:000, red, green, blue, #ff0000, ...
| e scr.color=0          use more colors (0: no color 1: ansi 16, 2: 256, 3: 16M)
| $DATADIR/radare2/cons  ~/.local/share/radare2/cons"
ecH[iw-?]		"[{""command"": ""ecHi[color]"", ""description"": ""highlight current instruction with 'color' background""}, {""command"": ""ecHw[word] [color]"", ""description"": ""highlight 'word ' in current instruction with 'color' background""}, {""command"": ""ecH"", ""description"": ""list all the highlight rules""}, {""command"": ""ecH."", ""description"": ""show highlight rule in current offset""}, {""command"": ""ecH-*"", ""description"": ""remove all the highlight hints""}, {""command"": ""ecH-"", ""description"": ""remove all highlights on current instruction""}]"	"Usage: ecH[iw-?]
| ecHi[color]         highlight current instruction with 'color' background
| ecHw[word] [color]  highlight 'word ' in current instruction with 'color' background
| ecH                 list all the highlight rules
| ecH.                show highlight rule in current offset
| ecH-*               remove all the highlight hints
| ecH-                remove all highlights on current instruction"
f [?] [flagname]	# Manage offset-name flags	"[{""command"": ""f"", ""description"": ""list flags (will only list flags from selected flagspaces)""}, {""command"": ""f name 12 @ 33"", ""description"": ""set flag 'name' with length 12 at offset 33""}, {""command"": ""f name = 33"", ""description"": ""alias for 'f name @ 33' or 'f name 1 33'""}, {""command"": ""f name 12 33 [cmt]"", ""description"": ""same as above + optional comment""}, {""command"": ""f?flagname"", ""description"": ""check if flag exists or not, See ?? and ?!""}, {""command"": ""f. [*[*]]"", ""description"": ""list local per-function flags (*) as r2 commands""}, {""command"": ""f.blah=$$+12"", ""description"": ""set local function label named 'blah' (f.blah@$$+12)""}, {""command"": ""f.-blah"", ""description"": ""delete local function label named 'blah'""}, {""command"": ""f. fname"", ""description"": ""list all local labels for the given function""}, {""command"": ""f,"", ""description"": ""table output for flags""}, {""command"": ""f*"", ""description"": ""list flags in r commands""}, {""command"": ""f-.blah@fcn.foo"", ""description"": ""delete local label from function at current seek (also f.-)""}, {""command"": ""f-name"", ""description"": ""remove flag 'name'""}, {""command"": ""f-@addr"", ""description"": ""remove flag at address expression (same as f-$$ or f-0x..)""}, {""command"": ""f--"", ""description"": ""delete all flags and flagspaces (deinit)""}, {""command"": ""f+name 12 @ 33"", ""description"": ""like above but creates new one if doesnt exist""}, {""command"": ""f= [glob]"", ""description"": ""list range bars graphics with flag offsets and sizes""}, {""command"": ""fa [name] [alias]"", ""description"": ""alias a flag to evaluate an expression""}, {""command"": ""fb [addr]"", ""description"": ""set base address for new flags""}, {""command"": ""fb [addr] [flag*]"", ""description"": ""move flags matching 'flag' to relative addr""}, {""command"": ""fc[?][name] [color]"", ""description"": ""set color for given flag""}, {""command"": ""fC [name] [cmt]"", ""description"": ""set comment for given flag""}, {""command"": ""fd[?] addr"", ""description"": ""return flag+delta""}, {""command"": ""fD[?] rawname"", ""description"": ""(de)mangle flag or set a new flag""}, {""command"": ""fe [name]"", ""description"": ""create flag name.#num# enumerated flag. (f.ex: fe foo @@= 1 2 3 4)""}, {""command"": ""fe-"", ""description"": ""resets the enumerator counter""}, {""command"": ""ff ([glob])"", ""description"": ""distance in bytes to reach the next flag (see sn/sp)""}, {""command"": ""fi [size] | [from] [to]"", ""description"": ""show flags in current block or range""}, {""command"": ""fg[*] ([prefix])"", ""description"": ""construct a graph with the flag names""}, {""command"": ""fj"", ""description"": ""list flags in JSON format""}, {""command"": ""fq"", ""description"": ""list flags in quiet mode""}, {""command"": ""fl (@[flag]) [size]"", ""description"": ""show or set flag length (size)""}, {""command"": ""fla [glob]"", ""description"": ""automatically compute the size of all flags matching glob""}, {""command"": ""fm addr"", ""description"": ""move flag at current offset to new address""}, {""command"": ""fn"", ""description"": ""list flags displaying the real name (demangled)""}, {""command"": ""fnj"", ""description"": ""list flags displaying the real name (demangled) in JSON format""}, {""command"": ""fN"", ""description"": ""show real name of flag at current address""}, {""command"": ""fN [[name]] [realname]"", ""description"": ""set flag real name (if no flag name current seek one is used)""}, {""command"": ""fo"", ""description"": ""show fortunes""}, {""command"": ""fO [glob]"", ""description"": ""flag as ordinals (sym.* func.* method.*)""}, {""command"": ""fr [[old]] [new]"", ""description"": ""rename flag (if no new flag current seek one is used)""}, {""command"": ""fR[?] [from] [to] [mask]"", ""description"": ""relocate all flags matching from&~m""}, {""command"": ""fs[?]+-*"", ""description"": ""manage flagspaces""}, {""command"": ""ft[?]*"", ""description"": ""flag tags, useful to find all flags matching some words""}, {""command"": ""fV[*-] [nkey] [offset]"", ""description"": ""dump/restore visual marks (mK/'K)""}, {""command"": ""fx[d]"", ""description"": ""show hexdump (or disasm) of flag:flagsize""}, {""command"": ""fz[?][name]"", ""description"": ""add named flag zone -name to delete. see fz?[name]""}]"	"Usage: f [?] [flagname]   # Manage offset-name flags
| f                         list flags (will only list flags from selected flagspaces)
| f name 12 @ 33            set flag 'name' with length 12 at offset 33
| f name = 33               alias for 'f name @ 33' or 'f name 1 33'
| f name 12 33 [cmt]        same as above + optional comment
| f?flagname                check if flag exists or not, See ?? and ?!
| f. [*[*]]                 list local per-function flags (*) as r2 commands
| f.blah=$$+12              set local function label named 'blah' (f.blah@$$+12)
| f.-blah                   delete local function label named 'blah'
| f. fname                  list all local labels for the given function
| f,                        table output for flags
| f*                        list flags in r commands
| f-.blah@fcn.foo           delete local label from function at current seek (also f.-)
| f-name                    remove flag 'name'
| f-@addr                   remove flag at address expression (same as f-$$ or f-0x..)
| f--                       delete all flags and flagspaces (deinit)
| f+name 12 @ 33            like above but creates new one if doesnt exist
| f= [glob]                 list range bars graphics with flag offsets and sizes
| fa [name] [alias]         alias a flag to evaluate an expression
| fb [addr]                 set base address for new flags
| fb [addr] [flag*]         move flags matching 'flag' to relative addr
| fc[?][name] [color]       set color for given flag
| fC [name] [cmt]           set comment for given flag
| fd[?] addr                return flag+delta
| fD[?] rawname             (de)mangle flag or set a new flag
| fe [name]                 create flag name.#num# enumerated flag. (f.ex: fe foo @@= 1 2 3 4)
| fe-                       resets the enumerator counter
| ff ([glob])               distance in bytes to reach the next flag (see sn/sp)
| fi [size] | [from] [to]   show flags in current block or range
| fg[*] ([prefix])          construct a graph with the flag names
| fj                        list flags in JSON format
| fq                        list flags in quiet mode
| fl (@[flag]) [size]       show or set flag length (size)
| fla [glob]                automatically compute the size of all flags matching glob
| fm addr                   move flag at current offset to new address
| fn                        list flags displaying the real name (demangled)
| fnj                       list flags displaying the real name (demangled) in JSON format
| fN                        show real name of flag at current address
| fN [[name]] [realname]    set flag real name (if no flag name current seek one is used)
| fo                        show fortunes
| fO [glob]                 flag as ordinals (sym.* func.* method.*)
| fr [[old]] [new]          rename flag (if no new flag current seek one is used)
| fR[?] [from] [to] [mask]  relocate all flags matching from&~m
| fs[?]+-*                  manage flagspaces
| ft[?]*                    flag tags, useful to find all flags matching some words
| fV[*-] [nkey] [offset]    dump/restore visual marks (mK/'K)
| fx[d]                     show hexdump (or disasm) of flag:flagsize
| fz[?][name]               add named flag zone -name to delete. see fz?[name]"
fc <flagname> [color]	# List colors with 'ecs'	"[{""command"": ""fc"", ""description"": ""same as fc.""}, {""command"": ""fc color"", ""description"": ""set color to all flags in current offset""}, {""command"": ""fc flag=color"", ""description"": ""set color to given flag. Same as 'fc color@flag'""}, {""command"": ""fc."", ""description"": ""get color of all flags in current offset""}, {""command"": ""fc-"", ""description"": ""remove color from current offset""}, {""command"": ""fc-flagname"", ""description"": ""remove color from given flag""}, {""command"": ""fc-*"", ""description"": ""reset all color flags""}, {""command"": ""fc*"", ""description"": ""list all flags colors in r2 commands""}, {""command"": ""fc.*"", ""description"": ""set color to all flags in current offset""}]"	"Usage: fc <flagname> [color]   # List colors with 'ecs'
| fc             same as fc.
| fc color       set color to all flags in current offset
| fc flag=color  set color to given flag. Same as 'fc color@flag'
| fc.            get color of all flags in current offset
| fc-            remove color from current offset
| fc-flagname    remove color from given flag
| fc-*           reset all color flags
| fc*            list all flags colors in r2 commands
| fc.*           set color to all flags in current offset"
fd[d]	[offset|flag|expression]	"[{""command"": ""fd $$"", ""description"": ""describe flag + delta for given offset""}, {""command"": ""fd. $$"", ""description"": ""check flags in current address (no delta)""}, {""command"": ""fdj $$"", ""description"": ""describe current flag in json""}, {""command"": ""fdd $$"", ""description"": ""describe flag without space restrictions""}, {""command"": ""fdw [string]"", ""description"": ""filter closest flag by string for current offset""}]"	"Usage: fd[d]  [offset|flag|expression]   # Describe flags
| fd $$         describe flag + delta for given offset
| fd. $$        check flags in current address (no delta)
| fdj $$        describe current flag in json
| fdd $$        describe flag without space restrictions
| fdw [string]  filter closest flag by string for current offset"
fD[*.j]	[rawname]	"[{""command"": ""fD rawname"", ""description"": ""print the mangled flag name using the raw name, see the ' command prefix""}, {""command"": ""fD. rawname"", ""description"": ""set a flag using the orig raw name in the current offset""}, {""command"": ""fDj rawname"", ""description"": ""same as fD but output is in json""}, {""command"": ""fD* rawname"", ""description"": ""filter raw name to be a valid flag and output in r2 commands""}]"	"Usage: fD[*.j]  [rawname]   # filter/mangle raw symbol name to be valid flag name
| fD rawname   print the mangled flag name using the raw name, see the ' command prefix
| fD. rawname  set a flag using the orig raw name in the current offset
| fDj rawname  same as fD but output is in json
| fD* rawname  filter raw name to be a valid flag and output in r2 commands"
fR	[from] [to] ([mask])	"[{""command"": ""fR entry0 `dm~:1[1]`"", ""description"": ""rebase entrypoint""}]"	"Usage: fR  [from] [to] ([mask])   # Relocate flags matching a mask asuming old and new base addresses
| fR entry0 `dm~:1[1]`  rebase entrypoint"
fs [*] [+-][flagspace|addr]	# Manage flagspaces	"[{""command"": ""fs"", ""description"": ""display flagspaces""}, {""command"": ""fs*"", ""description"": ""display flagspaces as r2 commands""}, {""command"": ""fsj"", ""description"": ""display flagspaces in JSON""}, {""command"": ""fs *"", ""description"": ""select all flagspaces""}, {""command"": ""fs flagspace"", ""description"": ""select flagspace or create if it doesn't exist""}, {""command"": ""fs-flagspace"", ""description"": ""remove flagspace""}, {""command"": ""fs-*"", ""description"": ""remove all flagspaces""}, {""command"": ""fs+foo"", ""description"": ""push previous flagspace and set""}, {""command"": ""fs-"", ""description"": ""pop to the previous flagspace""}, {""command"": ""fs-."", ""description"": ""remove the current flagspace""}, {""command"": ""fsq"", ""description"": ""list flagspaces in quiet mode""}, {""command"": ""fsm [addr]"", ""description"": ""move flags at given address to the current flagspace""}, {""command"": ""fss"", ""description"": ""display flagspaces stack""}, {""command"": ""fss*"", ""description"": ""display flagspaces stack in r2 commands""}, {""command"": ""fssj"", ""description"": ""display flagspaces stack in JSON""}, {""command"": ""fsr newname"", ""description"": ""rename selected flagspace""}]"	"Usage: fs [*] [+-][flagspace|addr]   # Manage flagspaces
| fs            display flagspaces
| fs*           display flagspaces as r2 commands
| fsj           display flagspaces in JSON
| fs *          select all flagspaces
| fs flagspace  select flagspace or create if it doesn't exist
| fs-flagspace  remove flagspace
| fs-*          remove all flagspaces
| fs+foo        push previous flagspace and set
| fs-           pop to the previous flagspace
| fs-.          remove the current flagspace
| fsq           list flagspaces in quiet mode
| fsm [addr]    move flags at given address to the current flagspace
| fss           display flagspaces stack
| fss*          display flagspaces stack in r2 commands
| fssj          display flagspaces stack in JSON
| fsr newname   rename selected flagspace"
ft [?ln] ([k] [v ...])	# Grep flag names using glob expression	"[{""command"": ""ft tag strcpy strlen ..."", ""description"": ""set words for the 'string' tag""}, {""command"": ""ft tag"", ""description"": ""get offsets of all matching flags""}, {""command"": ""ft"", ""description"": ""list all tags""}, {""command"": ""ftn tag"", ""description"": ""get matching flagnames fot given tag""}, {""command"": ""ftw"", ""description"": ""flag tags within this file""}, {""command"": ""ftj"", ""description"": ""list all flagtags in JSON format""}, {""command"": ""ft*"", ""description"": ""list all flagtags in r2 commands""}]"	"Usage: ft [?ln] ([k] [v ...])  # Grep flag names using glob expression
| ft tag strcpy strlen ...  set words for the 'string' tag
| ft tag                    get offsets of all matching flags
| ft                        list all tags
| ftn tag                   get matching flagnames fot given tag
| ftw                       flag tags within this file
| ftj                       list all flagtags in JSON format
| ft*                       list all flagtags in r2 commands"
f [?|-name| name] [@addr]	# Manage flagzones	"[{""command"": ""fz math"", ""description"": ""add new flagzone named 'math'""}, {""command"": ""fz-math"", ""description"": ""remove the math flagzone""}, {""command"": ""fz-*"", ""description"": ""remove all flagzones""}, {""command"": ""fz."", ""description"": ""show around flagzone context""}, {""command"": ""fz:"", ""description"": ""show what's in scr.flagzone for visual""}, {""command"": ""fz*"", ""description"": ""dump into r2 commands, for projects""}]"	"Usage: f [?|-name| name] [@addr]   # Manage flagzones
| fz math  add new flagzone named 'math'
| fz-math  remove the math flagzone
| fz-*     remove all flagzones
| fz.      show around flagzone context
| fz:      show what's in scr.flagzone for visual
| fz*      dump into r2 commands, for projects"
g[wcilper] [arg]	Go compile shellcodes using asm.arch/bits/os shc    exec : execute cmd=/bin/sh suid=false enc     xor : xor encoder for shellcode	"[{""command"": ""g"", ""description"": ""compile the shellcode""}, {""command"": ""g foo.r"", ""description"": ""compile r_egg source file""}, {""command"": ""gc cmd=/bin/ls"", ""description"": ""set config option for shellcodes and encoders""}, {""command"": ""gc"", ""description"": ""list all config options""}, {""command"": ""ge [encoder] [key]"", ""description"": ""specify an encoder and a key""}, {""command"": ""git [...]"", ""description"": ""your favourite version control""}, {""command"": ""gi [type]"", ""description"": ""define the shellcode type""}, {""command"": ""gL[?]"", ""description"": ""list plugins (shellcodes, encoders)""}, {""command"": ""gp padding"", ""description"": ""define padding for command""}, {""command"": ""gr"", ""description"": ""reset r_egg""}, {""command"": ""gs name args"", ""description"": ""compile syscall name(args)""}, {""command"": ""gS"", ""description"": ""show the current configuration""}, {""command"": ""gw"", ""description"": ""compile and write""}]"	"Usage: g[wcilper] [arg]  Go compile shellcodes using asm.arch/bits/os
| g                   compile the shellcode
| g foo.r             compile r_egg source file
| gc cmd=/bin/ls      set config option for shellcodes and encoders
| gc                  list all config options
| ge [encoder] [key]  specify an encoder and a key
| git [...]           your favourite version control
| gi [type]           define the shellcode type
| gL[?]               list plugins (shellcodes, encoders)
| gp padding          define padding for command
| gr                  reset r_egg
| gs name args        compile syscall name(args)
| gS                  show the current configuration
| gw                  compile and write
shc    exec : execute cmd=/bin/sh suid=false
enc     xor : xor encoder for shellcode"
i	Get info from opened file (see rabin2's manpage)	"[{""command"": ""i[*jq]"", ""description"": ""show info of current file (in JSON)""}, {""command"": ""ia"", ""description"": ""list archs found in current binary (same as rabin2 -A)""}, {""command"": ""ib"", ""description"": ""reload the current buffer for setting of the bin (use once only)""}, {""command"": ""ic[?]"", ""description"": ""List classes, methods and fields (icj for json)""}, {""command"": ""iC[j]"", ""description"": ""show signature info (entitlements, ...)""}, {""command"": ""id[?]"", ""description"": ""show DWARF source lines information""}, {""command"": ""iD lang sym"", ""description"": ""demangle symbolname for given language""}, {""command"": ""ie[?]e"", ""description"": ""ie=entrypoint, iee=constructors+destructors""}, {""command"": ""iE[?]"", ""description"": ""exports (global symbols)""}, {""command"": ""ig[?][h]"", ""description"": ""guess size of binary program (igh use human units instead of number of bytes)""}, {""command"": ""ih[?]"", ""description"": ""show binary headers (see iH)""}, {""command"": ""iH[?]"", ""description"": ""show binary headers fields""}, {""command"": ""ii[?][c,j*,]"", ""description"": ""list the symbols imported from other libraries""}, {""command"": ""iic[?][jqk*] ([type])"", ""description"": ""classify imports""}, {""command"": ""iI"", ""description"": ""binary info""}, {""command"": ""ik [query]"", ""description"": ""key-value database from RBinObject""}, {""command"": ""il"", ""description"": ""libraries""}, {""command"": ""iL [plugin]"", ""description"": ""list all RBin plugins loaded or plugin details""}, {""command"": ""im"", ""description"": ""show info about predefined memory allocation""}, {""command"": ""iM"", ""description"": ""show main address""}, {""command"": ""io [file]"", ""description"": ""load info from file (or last opened) use bin.baddr""}, {""command"": ""iO[?]"", ""description"": ""perform binary operation (dump, resize, change sections, ...)""}, {""command"": ""ir"", ""description"": ""list the relocations""}, {""command"": ""iR"", ""description"": ""list the resources""}, {""command"": ""is[?]"", ""description"": ""list the symbols""}, {""command"": ""iS[?]"", ""description"": ""list sections, segments and compute their hash""}, {""command"": ""it"", ""description"": ""file hashes""}, {""command"": ""iT"", ""description"": ""file signature""}, {""command"": ""iV"", ""description"": ""display file version info""}, {""command"": ""iw"", ""description"": ""show try/catch blocks""}, {""command"": ""iz[?]"", ""description"": ""strings in data sections (in JSON/Base64)""}]"	"Usage: i  Get info from opened file (see rabin2's manpage)
| i[*jq]                 show info of current file (in JSON)
| ia                     list archs found in current binary (same as rabin2 -A)
| ib                     reload the current buffer for setting of the bin (use once only)
| ic[?]                  List classes, methods and fields (icj for json)
| iC[j]                  show signature info (entitlements, ...)
| id[?]                  show DWARF source lines information
| iD lang sym            demangle symbolname for given language
| ie[?]e                 ie=entrypoint, iee=constructors+destructors
| iE[?]                  exports (global symbols)
| ig[?][h]               guess size of binary program (igh use human units instead of number of bytes)
| ih[?]                  show binary headers (see iH)
| iH[?]                  show binary headers fields
| ii[?][c,j*,]           list the symbols imported from other libraries
| iic[?][jqk*] ([type])  classify imports
| iI                     binary info
| ik [query]             key-value database from RBinObject
| il                     libraries
| iL [plugin]            list all RBin plugins loaded or plugin details
| im                     show info about predefined memory allocation
| iM                     show main address
| io [file]              load info from file (or last opened) use bin.baddr
| iO[?]                  perform binary operation (dump, resize, change sections, ...)
| ir                     list the relocations
| iR                     list the resources
| is[?]                  list the symbols
| iS[?]                  list sections, segments and compute their hash
| it                     file hashes
| iT                     file signature
| iV                     display file version info
| iw                     show try/catch blocks
| iz[?]                  strings in data sections (in JSON/Base64)"
ic [.-+clgjsq][jq]	Display class information	"[{""command"": ""ic"", ""description"": ""List classes, methods and fields (icj for json)""}, {""command"": ""ic."", ""description"": ""show class and method name in current seek""}, {""command"": ""ic-[klass.method]"", ""description"": ""delete given klass or klass.name""}, {""command"": ""ic+[klass.method]"", ""description"": ""add new symbol in current seek for a given klass and method name""}, {""command"": ""icc [lang]"", ""description"": ""List classes, methods and fields in Header Format (see bin.lang=swift,java,objc,cxx)""}, {""command"": ""icg [str]"", ""description"": ""List classes hirearchy graph with agn/age (match str if provided)""}, {""command"": ""icq"", ""description"": ""List classes, in quiet mode (just the classname)""}, {""command"": ""icqq"", ""description"": ""List classes, in quieter mode (only show non-system classnames)""}, {""command"": ""icl[c]"", ""description"": ""Show addresses of class and it methods, without names (iclc = class count)""}, {""command"": ""ics"", ""description"": ""Show class symbols in an easy to parse format""}]"	"Usage: ic [.-+clgjsq][jq]  Display class information
| ic                 List classes, methods and fields (icj for json)
| ic.                show class and method name in current seek
| ic-[klass.method]  delete given klass or klass.name
| ic+[klass.method]  add new symbol in current seek for a given klass and method name
| icc [lang]         List classes, methods and fields in Header Format (see bin.lang=swift,java,objc,cxx)
| icg [str]          List classes hirearchy graph with agn/age (match str if provided)
| icq                List classes, in quiet mode (just the classname)
| icqq               List classes, in quieter mode (only show non-system classnames)
| icl[c]             Show addresses of class and it methods, without names (iclc = class count)
| ics                Show class symbols in an easy to parse format"
idp	Debug information	"[{""command"": ""id"", ""description"": ""show DWARF source lines information""}, {""command"": ""idp [file.pdb]"", ""description"": ""load pdb file information""}, {""command"": ""idpi [file.pdb]"", ""description"": ""show pdb file information""}, {""command"": ""idpi*"", ""description"": ""show symbols from pdb as flags (prefix with dot to import)""}, {""command"": ""idpd"", ""description"": ""download pdb file on remote server""}, {""command"": ""idx"", ""description"": ""display source files used via dwarf (previously known as iX)""}, {""command"": ""ie[?]e"", ""description"": ""ie=entrypoint, iee=constructors+destructors""}]"	"Usage: idp  Debug information
| id               show DWARF source lines information
| idp [file.pdb]   load pdb file information
| idpi [file.pdb]  show pdb file information
| idpi*            show symbols from pdb as flags (prefix with dot to import)
| idpd             download pdb file on remote server
| idx              display source files used via dwarf (previously known as iX)
| ie[?]e  ie=entrypoint, iee=constructors+destructors"
iE [][jq*]	List exported symbols	"[{""command"": ""iE"", ""description"": ""exports (global symbols)""}, {""command"": ""iE,[table-query]"", ""description"": ""exported symbols using the table query""}, {""command"": ""iE."", ""description"": ""show export in current address""}, {""command"": ""ig[?][h]"", ""description"": ""guess size of binary program (igh use human units instead of number of bytes)""}]"	"Usage: iE [][jq*]  List exported symbols
| iE                exports (global symbols)
| iE,[table-query]  exported symbols using the table query
| iE.               show export in current address
| ig[?][h]  guess size of binary program (igh use human units instead of number of bytes)"
ih [*jq]	Display header information	"[{""command"": ""ih"", ""description"": ""normal output to display binary headers""}, {""command"": ""ih*"", ""description"": ""same as above, but in r2 commands""}, {""command"": ""ihj"", ""description"": ""in json format""}, {""command"": ""iH[?]"", ""description"": ""show binary headers fields""}, {""command"": ""ii[?][c,j*,]"", ""description"": ""list the symbols imported from other libraries""}, {""command"": ""iic[?][jqk*] ([type])"", ""description"": ""classify imports""}]"	"Usage: ih [*jq]  Display header information
| ih   normal output to display binary headers
| ih*  same as above, but in r2 commands
| ihj  in json format
| iH[?]  show binary headers fields
| ii[?][c,j*,]           list the symbols imported from other libraries
| iic[?][jqk*] ([type])  classify imports"
iic [jkq*]	info import classes	"[{""command"": ""iic [symname]"", ""description"": ""show all imports matching a class""}, {""command"": ""iic"", ""description"": ""list imports grouped by class""}, {""command"": ""iic."", ""description"": ""show classes associated with the import in the current address""}, {""command"": ""iicc [type]"", ""description"": ""show kind of given symbol name""}, {""command"": ""iiccx [type]"", ""description"": ""show functions calling the imports of this class""}, {""command"": ""iicj"", ""description"": ""list grouped imports in json""}, {""command"": ""iick"", ""description"": ""group imports by class, listed in key/value format""}]"	"Usage: iic [jkq*]  info import classes
| iic [symname]  show all imports matching a class
| iic            list imports grouped by class
| iic.           show classes associated with the import in the current address
| iicc [type]    show kind of given symbol name
| iiccx [type]   show functions calling the imports of this class
| iicj           list grouped imports in json
| iick           group imports by class, listed in key/value format"
iic [jkq*]	info import classes	"[{""command"": ""iic [symname]"", ""description"": ""show all imports matching a class""}, {""command"": ""iic"", ""description"": ""list imports grouped by class""}, {""command"": ""iic."", ""description"": ""show classes associated with the import in the current address""}, {""command"": ""iicc [type]"", ""description"": ""show kind of given symbol name""}, {""command"": ""iiccx [type]"", ""description"": ""show functions calling the imports of this class""}, {""command"": ""iicj"", ""description"": ""list grouped imports in json""}, {""command"": ""iick"", ""description"": ""group imports by class, listed in key/value format""}, {""command"": ""iO[?]"", ""description"": ""perform binary operation (dump, resize, change sections, ...)""}]"	"Usage: iic [jkq*]  info import classes
| iic [symname]  show all imports matching a class
| iic            list imports grouped by class
| iic.           show classes associated with the import in the current address
| iicc [type]    show kind of given symbol name
| iiccx [type]   show functions calling the imports of this class
| iicj           list grouped imports in json
| iick           group imports by class, listed in key/value format
| iO[?]  perform binary operation (dump, resize, change sections, ...)"
is [*hjq]	List symbols from current selected binary	"[{""command"": ""is,[table-query]"", ""description"": ""list symbols in table using given expression""}, {""command"": ""is."", ""description"": ""current symbol""}, {""command"": ""is*"", ""description"": ""same as above, but in r2 commands""}, {""command"": ""isj"", ""description"": ""in json format""}]"	"Usage: is [*hjq]  List symbols from current selected binary
| is,[table-query]  list symbols in table using given expression
| is.               current symbol
| is*               same as above, but in r2 commands
| isj               in json format"
