main_command	main_description	command	description
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,. file.csv	load table from CSV file (comma dot)
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,,	print table in csv format (comma comma)
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,-	reset table
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,/?	query/filter current table (non-destructive)
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,*>$foo	print table as r2 commands
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,j	print table in json format
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,h xxd foo bar cow	define header column names and types
,[,.-/*jhr] [file]	# load table data RTableQuery> comma separated. 'c' stands for column name. c/sort/inc     sort rows by given colname c/sortlen/inc  sort rows by strlen() c/cols/c1/c2   only show selected columns c/gt/0x800     grep rows matching col0 > 0x800 c/lt/0x800     grep rows matching col0 < 0x800 c/eq/0x800     grep rows matching col0 == 0x800 c/ne/0x800     grep rows matching col0 != 0x800 */uniq         get the first row of each that col0 is unique */head/10      same as | head -n 10 */skip/10      skip the first 10 rows */tail/10      same as | tail -n 10 */page/1/10    show the first 10 rows (/page/2/10 will show the 2nd) c/str/warn     grep rows matching col(name).str(warn) c/nostr/warn   grep rows not matching col(name).str(warn) c/strlen/3     grep rows matching strlen(col) == X c/minlen/3     grep rows matching strlen(col) > X c/maxlen/3     grep rows matching strlen(col) < X c/sum          sum all the values of given column :r2            .tostring() == .tor2()         # supports import/export :csv           .tostring() == .tocsv()        # supports import/export :tsv           .tostring() == .totsv()        # supports import/export :fancy         .tostring() == .tofancystring() :html          .tostring() == .tohtml() :json          .tostring() == .tojson() :simple        simple table output without lines :sql           .tostring() == .tosql() # export table contents in SQL statements :header        show column headers (see :quiet and :noheader) :quiet         do not print column names header	,r 1 2 foo	adds a row using the given format string
-	open editor and run the r2 commands in the saved document	'-' '.-' '. -'	those three commands do the same
-	open editor and run the r2 commands in the saved document	-8	same as s-8, but shorter to type (see +? command)
-	open editor and run the r2 commands in the saved document	-a x86	same as r2 -a x86 or e asm.arch=x86
-	open editor and run the r2 commands in the saved document	-A[?]	same as r2 -A or aaa
-	open editor and run the r2 commands in the saved document	-b 32	same as e or r2 -e
-	open editor and run the r2 commands in the saved document	-c cpu	same as r2 -e asm.cpu=
-	open editor and run the r2 commands in the saved document	-e k=v	same as r2 -b or e asm.bits
-	open editor and run the r2 commands in the saved document	-h	show this help (same as -?)
-	open editor and run the r2 commands in the saved document	-H key	same as r2 -H
-	open editor and run the r2 commands in the saved document	-k kernel	same as r2 -k or e asm.os
-	open editor and run the r2 commands in the saved document	-f	block size = file size (b $s)
-	open editor and run the r2 commands in the saved document	-j	enter the js: repl
-	open editor and run the r2 commands in the saved document	-i [file]	same as . [file], to run a script
-	open editor and run the r2 commands in the saved document	-s [addr]	same as r2 -e asm.cpu=
-	open editor and run the r2 commands in the saved document	-L	same as Lo (or r2 -L)
-	open editor and run the r2 commands in the saved document	-p project	same as 'P [prjname]' to load a project
-	open editor and run the r2 commands in the saved document	-P patchfile	apply given patch file (see doc/rapatch2.md)
-	open editor and run the r2 commands in the saved document	-v	same as -V
-	open editor and run the r2 commands in the saved document	-V	show r2 version, same as ?V
-	open editor and run the r2 commands in the saved document	--	seek one block backward. Same as s-- (see `b` command)
aaa[a[a]]	# automatically analyze the whole program	aaa	perform deeper analysis, most common use
aaa[a[a]]	# automatically analyze the whole program	aaaa	same as aaa but adds a bunch of experimental iterations
aaa[a[a]]	# automatically analyze the whole program	aaaaa	refine the analysis to find more functions after aaaa
aaa[a[a]]	# automatically analyze the whole program	_	print last output
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=	list all open connections
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=<[fd] cmd	send output of local command to remote fd
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=[fd] cmd	exec cmd at remote 'fd' (last open is default one)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=! cmd	run command via r_io_system
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+ [proto://]host:port	connect to remote host:port (*rap://, raps://, tcp://, udp://, http://)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=-[fd]	remove all hosts or host 'fd'
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	==[fd]	open remote session with host 'fd', 'q' to quit
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=!=	disable remote cmd mode
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	!=!	enable remote cmd mode
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=l[?]	list, create or destroy background session server
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=tport	start the tcp server (echo x|nc ::1 9090 or curl ::1:9090/cmd/x)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=rport	start the rap server (o rap://9999)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=g[?]	start the gdbserver
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=h port	start the http webserver on 'port'
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=H port	start the http webserver on 'port' (launch browser)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=&:port	start rap server in background (same as '&_=h')
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=:host:port cmd	run 'cmd' command on remote server
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+tcp://localhost:9090/	connect to: r2 -c.:9090 ./bin
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+rap://localhost:9090/	connect to: r2 rap://:9090
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+http://localhost:9090/cmd/	connect to: r2 -c'=h 9090' bin
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	o rap://:9090/	start the rap server on tcp port 9090
=l	[..] list, create and destroy r2 sessions	=l	list all available sessions
=l	[..] list, create and destroy r2 sessions	=l [name]	give a name to the current session
=l	[..] list, create and destroy r2 sessions	=l-	stop listening in background
=l	[..] list, create and destroy r2 sessions	=ll	start a new session: listening for commands in background
=[g] [...]	# gdb server gdbserver:	=g port file [args]	listen on 'port' debugging 'file' using gdbserver
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/ foo\x00	search for string 'foo\0'
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/j foo\x00	search for string 'foo\0' (json output)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/! ff	search for first occurrence not matching, command modifier
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/!x 00	inverse hexa search (find first byte != 0x00)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/+ /bin/sh	construct the string with chunks
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	//	repeat last search
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/a[?][1aoditfmsltf] jmp eax	find instructions by text or bytes (asm/disasm)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/b[?][p]	search backwards, command modifier, followed by other command
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/c[?][adr]	search for crypto materials
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/d 101112	search for a deltified sequence of bytes
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/e /E.F/i	match regular expression
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/E esil-expr	offset matching given esil expressions $$ = here
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/f	search forwards, (command modifier)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/F file [off] [sz]	search contents of file with offset and size
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/g[g] [from]	find all graph paths A to B (/gg follow jumps, see search.count and anal.depth)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/h[?][algorithm] [digest] [size]	find block of size bytes having this digest. See ph
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/i foo	search for string 'foo' ignoring case
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/k foo	search for string 'foo' using Rabin Karp alg
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/m[?][ebm] magicfile	search for magic, filesystems or binary headers
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/o [n]	show offset of n instructions backward
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/O [n]	same as /o, but with a different fallback if anal cannot be used
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/p[?][p] patternsize	search for pattern of given size
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/P patternsize	search similar blocks
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/s[*] [threshold]	find sections by grouping blocks with similar entropy
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/r[?][erwx] sym.printf	analyze opcode reference an offset (/re for esil)
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/R[?] [grepopcode]	search for matching ROP gadgets, semicolon-separated
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/v[1248] value	look for an `cfg.bigendian` 32bit value
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/V[1248] min max	look for an `cfg.bigendian` 32bit value in range
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/w foo	search for wide string 'f\0o\0o\0'
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/wi foo	search for wide string ignoring case 'f\0o\0o\0'
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/x[?] [bytes]	search for hex string with mask, ignoring some nibbles
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/z min max	search for strings of given size
/[!bf] [arg]	Search stuff (see 'e??search' for options) Use io.va for searching in non virtual addressing spaces	/* [comment string]	add multiline comment, end it with '*/'
/a[?] [arg]	Search for assembly instructions matching given properties	/a push rbp	assemble given instruction and search the bytes
/a[?] [arg]	Search for assembly instructions matching given properties	/a1 [number]	find valid assembly generated by changing only the nth byte
/a[?] [arg]	Search for assembly instructions matching given properties	/aI	search for infinite loop instructions (jmp $$)
/a[?] [arg]	Search for assembly instructions matching given properties	/aa mov eax	linearly find aproximated assembly (case insensitive strstr)
/a[?] [arg]	Search for assembly instructions matching given properties	/ab[f] [delta]	search for backward jumps (usually loops)
/a[?] [arg]	Search for assembly instructions matching given properties	/ac mov eax	same as /aa, but case-sensitive
/a[?] [arg]	Search for assembly instructions matching given properties	/ad[?][/*jq] push;mov	match ins1 followed by ins2 in linear disasm
/a[?] [arg]	Search for assembly instructions matching given properties	/ae esil	search for esil expressions matching substring
/a[?] [arg]	Search for assembly instructions matching given properties	/af[l] family	search for instruction of specific family (afl=list)
/a[?] [arg]	Search for assembly instructions matching given properties	/aF[d] opstr	find instructions matching given opstr only in analyzed code
/a[?] [arg]	Search for assembly instructions matching given properties	/ai[j] 0x300 [0x500]	find all the instructions using that immediate (in range)
/a[?] [arg]	Search for assembly instructions matching given properties	/al	same as aoml, list all opcodes
/a[?] [arg]	Search for assembly instructions matching given properties	/am opcode	search for specific instructions of specific mnemonic
/a[?] [arg]	Search for assembly instructions matching given properties	/ao instr	search for instruction 'instr' (in all offsets)
/a[?] [arg]	Search for assembly instructions matching given properties	/as[qjl] ([type])	search for syscalls (See /at swi and /af priv)
/a[?] [arg]	Search for assembly instructions matching given properties	/at[?][qjl] ([type])	search for instructions of given type
/a[?] [arg]	Search for assembly instructions matching given properties	/az[q] ([minstr])	search assembly constructed strings (q)uiet reduces FP (uses bin.minsz)
/ad[/<*jq>] [value]	Backward search subcommands	/ad rax	search in plaintext disasm for matching instructions
/ad[/<*jq>] [value]	Backward search subcommands	/ad rax$	search in plaintext disasm for instruction matchin given glob expression
/ad[/<*jq>] [value]	Backward search subcommands	/adj rax	json output searching in disasm with plaintext
/ad[/<*jq>] [value]	Backward search subcommands	/adq rax	quiet mode ideal for scripting
/ad[/<*jq>] [value]	Backward search subcommands	/ad/ ins1;ins2	search for regex instruction 'ins1' followed by regex 'ins2'
/ad[/<*jq>] [value]	Backward search subcommands	/ad/a instr	search for every byte instruction that matches regexp 'instr'
/at[flmj] [arg]	Search for instructions matching type/family/mnemonic	/at [optype,optype2]	list instructions matching any of the comma separated optypes
/at[flmj] [arg]	Search for instructions matching type/family/mnemonic	/atj [optype,optype2]	list instructions matching any of the comma separated optypes  but using json as output
/at[flmj] [arg]	Search for instructions matching type/family/mnemonic	/atf [family]	search for given-family type of instructions
/at[flmj] [arg]	Search for instructions matching type/family/mnemonic	/atl	list all the instruction types (RAnalOp.Type)
/at[flmj] [arg]	Search for instructions matching type/family/mnemonic	/atm	search matching only the instruction mnemonic
/b[p]<command> [value]	Backward search subcommands	/b[x] [str|414243]	search in hexadecimal 'ABC' backwards starting in current address
/b[p]<command> [value]	Backward search subcommands	/bp	search previous prelude and set hit.prelude flag
/c	Search for crypto materials	/ca[?] [algo]	search for keys expanded in memory (algo can be 'aes' or 'sm4')
/c	Search for crypto materials	/cc[?] [algo] [digest]	find collisions (bruteforce block length values until given checksum is found)
/c	Search for crypto materials	/cd	search for ASN1/DER certificates
/c	Search for crypto materials	/cg	search for GPG/PGP keys and signatures (Plaintext and binary form)
/c	Search for crypto materials	/ck	find well known constant tables from different hash and crypto algorithms
/c	Search for crypto materials	/cp[?] [algo] [pubkey]	search for a private key matching a given public key
/c	Search for crypto materials	/cr	search for ASN1/DER private keys (RSA and ECC)
/c	Search for crypto materials	/ca[?] [algo]	search for keys expanded in memory (algo can be 'aes' or 'sm4')
/cc[aAldpb] [algo] [digest]	find collisions	/cca [algo] [digest]	lowercase alphabet chars only
/cc[aAldpb] [algo] [digest]	find collisions	/ccA [algo] [digest]	uppercase alphabet chars only
/cc[aAldpb] [algo] [digest]	find collisions	/ccl [algo] [digest]	letters (lower + upper alphabet chars)
/cc[aAldpb] [algo] [digest]	find collisions	/ccd [algo] [digest]	digits (only numbers)
/cc[aAldpb] [algo] [digest]	find collisions	/ccp [algo] [digest]	printable (alpha + digit)
/cc[aAldpb] [algo] [digest]	find collisions	/ccb [algo] [digest]	binary (any number is valid)
/cc[aAldpb] [algo] [digest]	find collisions	/cp[?] [algo] [pubkey]	search for a private key matching a given public key
/cc[aAldpb] [algo] [digest]	find collisions	/h[?][algorithm] [digest] [size]	find block of size bytes having this digest. See ph
/cc[aAldpb] [algo] [digest]	find collisions	/m	search for known magic patterns
/cc[aAldpb] [algo] [digest]	find collisions	/m [file]	search for known magic patterns  but using the given magic file
/cc[aAldpb] [algo] [digest]	find collisions	/me	like ?e similar to IRC's /me
/cc[aAldpb] [algo] [digest]	find collisions	/mm	search for known filesystems and mount them automatically
/cc[aAldpb] [algo] [digest]	find collisions	/mb	search recognized RBin headers
/p[p]	[pattern]	/p [hexpattern]	search in hexpairs pattern in search.in
/p[p]	[pattern]	/pp	search for function preludes
/r[acerwx] [address]	search references to this specific address	/r [addr]	search references to this specific address
/r[acerwx] [address]	search references to this specific address	/ra	search all references
/r[acerwx] [address]	search references to this specific address	/rc ([addr])	search for call references
/r[acerwx] [address]	search references to this specific address	/re [addr]	search references using esil
/r[acerwx] [address]	search references to this specific address	/rr	find read references
/r[acerwx] [address]	search references to this specific address	/ru[*qj]	search for UDS CAN database tables (binbloom)
/r[acerwx] [address]	search references to this specific address	/rw	find write references
/r[acerwx] [address]	search references to this specific address	/rx	find exec references
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/R [string]	show gadgets
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/R/ [regexp]	show gadgets [regular expression]
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/R/j [regexp]	json output [regular expression]
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/R/q [regexp]	show gadgets in a quiet manner [regular expression]
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/Rj [string]	json output
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/Rk [ropklass]	query stored ROP gadgets klass
/R	"search for ROP gadgets (see ""? for escaping chars in the shell)"	/Rq [string]	show gadgets in a quiet manner
/x[v] [hexpairs]:[binmask]	search in memory	/x 9090cd80	search for those bytes
/x[v] [hexpairs]:[binmask]	search in memory	/x ff..33	search for hex string ignoring some nibbles
/x[v] [hexpairs]:[binmask]	search in memory	/x 9090cd80:ffff7ff0	search with binary mask
/x[v] [hexpairs]:[binmask]	search in memory	/xn[1|2|4|8] value amount	search for an array of Value repeated Amount of times
/x[v] [hexpairs]:[binmask]	search in memory	/xv[1|2|4|8] v0 v1 v2 v3 ..	search for an array of values with given size and endian
!<cmd>		!	list all commands in the shell history
!<cmd>		!ls	execute 'ls' in shell
!<cmd>		!*r2p x	run r2 command via r2pipe in current session
!<cmd>		!.	save command history to hist file
!<cmd>		!!	list commands used in current session
!<cmd>		!!ls~txt	print output of 'ls' and grep for 'txt'
!<cmd>		!!!cmd [args|$type]	adds the autocomplete value
!<cmd>		!!!-cmd [args]	removes the autocomplete value
!<cmd>		.!rabin2 -rpsei ${FILE}	run each output line as a r2 cmd
!<cmd>		!echo $R2_SIZE	display file size
!<cmd>		!-	clear history in current session
!<cmd>		!-*	clear and save empty history log
!<cmd>		!=!	enable remotecmd mode
!<cmd>		=!=	disable remotecmd mode
#!<interpreter>	[<args>] [<file] [<<eof]	#	comment - do nothing
#!<interpreter>	[<args>] [<file] [<<eof]	#!	list all available interpreters
#!<interpreter>	[<args>] [<file] [<<eof]	#!!	reset rlang session context (see js!)
#!<interpreter>	[<args>] [<file] [<<eof]	#!?	show this help message
#!<interpreter>	[<args>] [<file] [<<eof]	#!?j	list all available interpreters in JSON
#!<interpreter>	[<args>] [<file] [<<eof]	#!?q	list all available lang plugin names (See Ll?)
#!<interpreter>	[<args>] [<file] [<<eof]	#!<lang>?	show help for <lang> (v, python, mujs, ..)
#!<interpreter>	[<args>] [<file] [<<eof]	#!<lang> [file]	interpret the given file with lang plugin
#!<interpreter>	[<args>] [<file] [<<eof]	#!<lang> -e [expr|base64:..]	run the given expression with lang plugin
#!<interpreter>	[<args>] [<file] [<<eof]	#!<lang>	enter interactive prompt for given language plugin
#!<interpreter>	[<args>] [<file] [<<eof]	#!pipe node -e 'console.log(123)''	run program with arguments inside an r2pipe environment
a	[abdefFghoprxstc] [...]	a	alias for aai - analysis information
a	[abdefFghoprxstc] [...]	a:[cmd]	run a command implemented by an analysis plugin (like : for io)
a	[abdefFghoprxstc] [...]	a*	same as afl*;ah*;ax*
